"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1.05265290822826,1.04946841571459,1.12060743616772,1.10333561968569,1.11838956451174,1.10817210855929,1.14090648558327,1.14057405928291,1.12543808705289,1.12206260091747,1.16141475340556,1.19810150218654,1.19891012138756,1.24301229620948,1.24378082934442,1.23843511295125,1.3002039926952,1.29064711313575,1.25452062128096
"2",1.10074215127768,1.09965264076813,1.10802519060067,1.09832297402758,1.11018415066044,1.11621346956627,1.12682710879412,1.15407428232284,1.14218731056031,1.13188911568509,1.14454930121213,1.13466104488766,1.15343325216776,1.16543121358876,1.17293490071389,1.19073521960022,1.19195641734758,1.21918958585461,1.22882649045523
"3",1.1354128492522,1.13541971646059,1.13909569264208,1.14283130747889,1.14320138186255,1.13849501871713,1.12967792828685,1.15609173236452,1.16565749209034,1.14798186127008,1.14945901533867,1.13575563549051,1.15330996783184,1.15519748224512,1.15728585661533,1.16977264710706,1.18991466005933,1.17230904390692,1.16904496048754
"4",1.11033784522484,1.11049200035491,1.11707876014769,1.1257743338807,1.13453852822071,1.1261170731606,1.13075780168252,1.13772213420864,1.15063932918161,1.14699208348137,1.14249709775099,1.15016209357979,1.15116887412614,1.15775097801832,1.16384393733193,1.15934325657604,1.1666049686271,1.16799331934165,1.15895575077374
"5",1.02523062425466,1.02523277256766,1.04468398616118,1.06729148270152,1.08472500836122,1.0972392439626,1.11505494373404,1.10387744982736,1.12081791059019,1.1337328366097,1.13216660653983,1.14271414435015,1.13924437845181,1.11290892237855,1.13243540674029,1.13204519856596,1.1452301533022,1.16816118705798,1.17044872246045
"6",1.02583792840567,1.02572178337104,1.02816934015917,1.04234033610734,1.05395387966285,1.06749446544187,1.08020349407609,1.09431152629486,1.10268030646605,1.09217789786314,1.07576580240198,1.08854749387001,1.08218528920845,1.1030915377728,1.1150707367485,1.11857510324171,1.12159767889921,1.13496203529214,1.14547456596383
"7",0.9165601427602,0.91639644423385,0.946987680272005,0.947574738257669,0.970389044364109,0.99182323568903,1.00246977561353,1.03027791545478,1.04390643295467,1.03533595699501,1.03825702504769,1.03776191061371,1.06110919233405,1.07064995507593,1.09393760988639,1.10963307358871,1.10034582730725,1.09830649664572,1.11496770703121
"8",1.06352497750981,1.06339712382991,1.04787480503928,1.03618414723808,1.01403520196209,1.01792962952358,1.01651017271473,1.03128838582868,1.03131668344996,1.0621179905732,1.0630907991171,1.05757640687243,1.06731197687013,1.05888315361408,1.07692584486004,1.08633483950865,1.09256652878411,1.11802473624714,1.1229011911941
"9",1.02695319003963,1.02689576569243,1.02864387317905,1.03073611597258,1.03489918910654,1.03683955796563,1.0347041066042,1.0341017280379,1.03602636353368,1.04902321844615,1.05746863261106,1.07470954650531,1.072301346657,1.07343827229421,1.07492933913273,1.07156815108396,1.08170579254261,1.09343664115465,1.10039782866677
"10",1.06436645706871,1.06419969433225,1.04704667781679,1.04394358770816,1.04953896590026,1.03712988656136,1.03867882689265,1.02481333983302,1.02994947313468,1.00716316648178,1.01887358052307,1.02578454071778,1.03007832799492,1.03921960638548,1.03269692404239,1.04255314852323,1.04777379992361,1.0566077465519,1.05927152097153
"11",1.02807087927387,1.02793438967947,1.02901056325571,1.0186877243393,1.01943556341885,1.02830065246973,1.0132352567818,1.01329135025791,1.02004262580671,1.02665687686412,1.04190746693596,1.03710534972607,1.04135080481369,1.04765720406727,1.05059302628681,1.05771778963929,1.04434057569732,1.0298043209078,1.03134304730472
"12",1.07745305397294,1.07731990226637,1.05393630147241,1.03020981499205,1.0210973353897,1.02414315206602,1.00004366147041,1.00779355432801,1.00915040246866,1.02145376547266,1.03066803039769,1.03626241917002,1.04764639279169,1.05876125773864,1.05016849849812,1.05299010652628,1.03325567512928,1.04820431478515,1.05751993239496
"13",1.0531739719389,1.05309164194084,1.0543137119949,1.03279719480137,1.02392346360185,1.01461546360974,1.0207236629034,1.02183467850287,1.02418452739741,1.02064114364014,1.02433224919003,1.02530405678985,1.01231810835201,1.00898926665236,1.0184116002529,1.03049622817833,1.04261090746516,1.02207622747758,1.02857572328618
"14",1.10117765756899,1.10136442780115,1.08868593559836,1.09651424091344,1.0839504916146,1.05579150533585,1.06507941076155,1.04790326439473,1.04324395767157,1.04553445339184,1.04165832684719,1.0331311531738,1.03396449506935,1.04065869027979,1.03757036331325,1.02161166034917,1.02804677938041,1.04176768091381,1.04257107432752
"15",1.11253262254293,1.11280396821694,1.11597766923062,1.11321162477967,1.10466697529935,1.08882062618958,1.09310821089095,1.08563975091798,1.05690326476079,1.04700279248758,1.04520182427983,1.0330282626815,1.03584713691655,1.0380240499905,1.04450302956813,1.01020516498276,1.01503866564972,1.02539014508261,1.01926095433677
"16",1.11231275443571,1.11247623490209,1.10315563687767,1.11866591940793,1.11418264357843,1.11161637196589,1.11354603420204,1.11166170183296,1.09435533440199,1.08502294333163,1.07608798259891,1.07822759317156,1.06956364763811,1.06571170052126,1.04988993498079,1.04853848954485,1.04708520315749,1.04684539354337,1.03187432976866
"17",1.08722172241315,1.08743181647652,1.09690137634488,1.0930368140771,1.09168757229649,1.10347423588325,1.1059360202936,1.10683139082785,1.10111880098409,1.10674953429582,1.10366965888018,1.1066184192839,1.09438113382282,1.08228695410302,1.06718095317341,1.06822580401075,1.06590280099117,1.07192193855573,1.06863253017514
"18",1.08636344593996,1.0866379802253,1.09295260022932,1.10591146374931,1.11752809836429,1.1193108652849,1.11690540787248,1.11493216224875,1.11926768113896,1.1202481415664,1.1161760125227,1.11467225167724,1.11347982695954,1.08769963335056,1.06966010069279,1.07468039479497,1.07241795109707,1.06312553446025,1.05296819520614
"19",1.08529250405714,1.08563670782465,1.09807597693431,1.10459523901076,1.11635741929662,1.12259109800642,1.12097663648959,1.11936187875466,1.11176854037964,1.1111088964547,1.11891924036149,1.11508807666274,1.11715782218918,1.10025080102547,1.10926567401794,1.11554910166015,1.10061233913155,1.09877348267078,1.09538950649537
"20",1.09619004706799,1.09661030150227,1.08906884299602,1.09858640435942,1.10198459668805,1.09946859791302,1.09865519493621,1.10272478481931,1.11412022920873,1.11338009727913,1.10841481488407,1.10377244879964,1.11446995830237,1.11428941778118,1.1174024262382,1.11042037718241,1.08666241108477,1.0784223613905,1.05564320431136
